index,mapped_rxn
31,Br[c:14]1[cH:15][cH:16][cH:17][c:18]2[n:19][cH:20][cH:21][cH:22][c:23]12.[CH3:1][C@:2]12[CH2:3][CH2:4][CH2:5][C@:6]3([CH2:7][O:8]3)[C@@H:9]1[CH2:10][C@@H:11]1[C:12](=[CH2:13])[C:24](=[O:25])[O:26][C@@H:27]1[CH2:28]2>>[CH3:1][C@:2]12[CH2:3][CH2:4][CH2:5][C@:6]3([CH2:7][O:8]3)[C@@H:9]1[CH2:10][C@@H:11]1/[C:12](=[CH:13]\[c:14]3[cH:15][cH:16][cH:17][c:18]4[n:19][cH:20][cH:21][cH:22][c:23]34)[C:24](=[O:25])[O:26][C@@H:27]1[CH2:28]2
32,Br[c:14]1[cH:15][cH:16][c:17]2[n:18][cH:19][cH:20][cH:21][c:22]2[cH:23]1.[CH3:1][C@:2]12[CH2:3][CH2:4][CH2:5][C@:6]3([CH2:7][O:8]3)[C@@H:9]1[CH2:10][C@@H:11]1[C:12](=[CH2:13])[C:24](=[O:25])[O:26][C@@H:27]1[CH2:28]2>>[CH3:1][C@:2]12[CH2:3][CH2:4][CH2:5][C@:6]3([CH2:7][O:8]3)[C@@H:9]1[CH2:10][C@@H:11]1/[C:12](=[CH:13]\[c:14]3[cH:15][cH:16][c:17]4[n:18][cH:19][cH:20][cH:21][c:22]4[cH:23]3)[C:24](=[O:25])[O:26][C@@H:27]1[CH2:28]2
33,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[CH:8]=[CH2:9].I[c:10]1[cH:11][c:12]([C:13]#[N:14])[cH:15][cH:16][c:17]1[NH2:18]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][c:12]([C:13]#[N:14])[cH:15][cH:16][c:17]1[NH2:18]
34,[CH2:7]=[CH:8][C:9](=[O:10])[O:11][C:12]([CH3:13])([CH3:14])[CH3:15].I[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:18][c:16]1[NH2:17]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](/[CH:7]=[CH:8]/[C:9](=[O:10])[O:11][C:12]([CH3:13])([CH3:14])[CH3:15])[c:16]([NH2:17])[cH:18]1
35,[O:1]=[S:2](=[O:3])([CH:4]=[CH2:5])[O:37][CH3:40].I[c:7]1[c:6]([F:13])[c:41]([F:19])[c:10]([F:11])[c:8]([F:21])[c:35]1[F:24]>>[O:1]=[S:2](=[O:3])(/[CH:4]=[CH:5]/[c:6]1[cH:7][cH:8][c:9]([C:10]([F:11])([C:12]([F:13])([F:14])[C:15]([F:16])([F:17])[C:18]([F:19])([F:20])[F:21])[C:22]([F:23])([F:24])[C:25]([F:26])([F:27])[C:28]([F:29])([F:30])[C:31]([F:32])([F:33])[F:34])[cH:35][cH:36]1)[O:37][c:38]1[cH:39][cH:40][cH:41][cH:42][cH:43]1
36,[CH2:1]=[CH2:2].I[c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1-[c:9]1[n:10][n:11][c:12](-[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[o:19]1>>[CH2:1]=[CH:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1-[c:9]1[n:10][n:11][c:12](-[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[o:19]1
39,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH:7]=[CH2:8])[cH:21][cH:22]1.I[C:9]([F:10])([F:11])[C:12](=[O:13])[c:14]1[cH:15][cH:16][c:17]([CH3:18])[cH:19][cH:20]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](/[CH:7]=[CH:8]/[C:9]([F:10])([F:11])[C:12](=[O:13])[c:14]2[cH:15][cH:16][c:17]([CH3:18])[cH:19][cH:20]2)[cH:21][cH:22]1
40,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH:7]=[CH2:8])[cH:21][cH:22]1.I[C:9]([F:10])([F:11])[C:12](=[O:13])[c:14]1[cH:15][cH:16][c:17]([CH3:18])[cH:19][cH:20]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](/[CH:7]=[CH:8]/[C:9]([F:10])([F:11])[C:12](=[O:13])[c:14]2[cH:15][cH:16][c:17]([CH3:18])[cH:19][cH:20]2)[cH:21][cH:22]1
41,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH:7]=[CH2:8])[cH:24][cH:25]1.I[C:9]([F:10])([F:11])[C:12](=[O:13])[c:14]1[cH:15][cH:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]2[cH:23]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](/[CH:7]=[CH:8]/[C:9]([F:10])([F:11])[C:12](=[O:13])[c:14]2[cH:15][cH:16][c:17]3[cH:18][cH:19][cH:20][cH:21][c:22]3[cH:23]2)[cH:24][cH:25]1
42,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH:7]=[CH2:8])[cH:24][cH:25]1.I[C:9]([F:10])([F:11])[C:12](=[O:13])[c:14]1[cH:15][cH:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]2[cH:23]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](/[CH:7]=[CH:8]/[C:9]([F:10])([F:11])[C:12](=[O:13])[c:14]2[cH:15][cH:16][c:17]3[cH:18][cH:19][cH:20][cH:21][c:22]3[cH:23]2)[cH:24][cH:25]1
