index,mapped_rxn
2560,[CH3:1][CH2:2][CH2:3][CH:4]1[c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[CH:11]=[N:12][N:13]1[C:14](=[O:15])[CH:16]=[CH2:17].I[c:18]1[cH:19][c:20]([CH2:21][c:22]2[cH:23][n:24][c:25]([NH2:26])[n:27][c:28]2[NH2:29])[cH:30][c:31]([O:32][CH3:33])[c:34]1[O:35][CH2:36][c:37]1[cH:38][cH:39][cH:40][cH:41][cH:42]1>>[CH3:1][CH2:2][CH2:3][CH:4]1[c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[CH:11]=[N:12][N:13]1[C:14](=[O:15])/[CH:16]=[CH:17]/[c:18]1[cH:19][c:20]([CH2:21][c:22]2[cH:23][n:24][c:25]([NH2:26])[n:27][c:28]2[NH2:29])[cH:30][c:31]([O:32][CH3:33])[c:34]1[O:35][CH2:36][c:37]1[cH:38][cH:39][cH:40][cH:41][cH:42]1
2561,[CH3:1][CH2:2][CH2:3][CH:4]1[c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[CH:11]=[N:12][N:13]1[C:14](=[O:15])[CH:16]=[CH2:17].I[c:18]1[cH:19][c:20]([CH2:21][c:22]2[cH:23][n:24][c:25]([NH2:26])[n:27][c:28]2[NH2:29])[cH:30][c:32]2[c:31]1[O:35][CH2:34][O:33]2>>[CH3:1][CH2:2][CH2:3][CH:4]1[c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[CH:11]=[N:12][N:13]1[C:14](=[O:15])/[CH:16]=[CH:17]/[c:18]1[cH:19][c:20]([CH2:21][c:22]2[cH:23][n:24][c:25]([NH2:26])[n:27][c:28]2[NH2:29])[cH:30][c:31]2[c:32]1[O:33][CH2:34][O:35]2
2562,[CH2:18]=[CH:19][C:20](=[O:21])[N:22]1[N:23]=[CH:24][c:25]2[cH:26][cH:27][cH:28][cH:29][c:30]2[CH:31]1[CH:32]=[C:33]([CH3:34])[CH3:35].I[c:17]1[cH:16][c:6]([CH2:7][c:8]2[cH:9][n:10][c:11]([NH2:12])[n:13][c:14]2[NH2:15])[cH:5][c:4]([O:3][CH2:2][CH3:1])[c:36]1[O:37][CH2:38][CH3:39]>>[CH3:1][CH2:2][O:3][c:4]1[cH:5][c:6]([CH2:7][c:8]2[cH:9][n:10][c:11]([NH2:12])[n:13][c:14]2[NH2:15])[cH:16][c:17](/[CH:18]=[CH:19]/[C:20](=[O:21])[N:22]2[N:23]=[CH:24][c:25]3[cH:26][cH:27][cH:28][cH:29][c:30]3[CH:31]2[CH:32]=[C:33]([CH3:34])[CH3:35])[c:36]1[O:37][CH2:38][CH3:39]
2563,[CH2:6]=[CH:7][C:8](=[O:9])[N:10]1[N:11]=[CH:12][c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]2[CH:19]1[CH:20]=[C:21]([CH3:22])[CH3:23].I[c:5]1[c:4]([O:3][CH2:2][CH3:1])[c:36]([O:37][CH3:38])[cH:35][c:25]([CH2:26][c:27]2[cH:28][n:29][c:30]([NH2:31])[n:32][c:33]2[NH2:34])[cH:24]1>>[CH3:1][CH2:2][O:3][c:4]1[c:5](/[CH:6]=[CH:7]/[C:8](=[O:9])[N:10]2[N:11]=[CH:12][c:13]3[cH:14][cH:15][cH:16][cH:17][c:18]3[CH:19]2[CH:20]=[C:21]([CH3:22])[CH3:23])[cH:24][c:25]([CH2:26][c:27]2[cH:28][n:29][c:30]([NH2:31])[n:32][c:33]2[NH2:34])[cH:35][c:36]1[O:37][CH3:38]
2564,[CH2:7]=[CH:8][c:9]1[cH:10][c:11]([Br:12])[cH:13][cH:14][c:15]1[OH:16].OB(O)[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:20][c:17]1[O:18][CH3:19]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](/[CH:7]=[CH:8]/[c:9]2[cH:10][c:11]([Br:12])[cH:13][cH:14][c:15]2[OH:16])[c:17]([O:18][CH3:19])[cH:20]1
2565,[CH2:6]=[CH:7][c:8]1[cH:9][c:10]([Br:11])[cH:12][cH:13][c:14]1[OH:15].OB(O)[c:5]1[cH:4][c:3]([O:2][CH3:1])[cH:20][c:17]([O:18][CH3:19])[cH:16]1>>[CH3:1][O:2][c:3]1[cH:4][c:5](/[CH:6]=[CH:7]/[c:8]2[cH:9][c:10]([Br:11])[cH:12][cH:13][c:14]2[OH:15])[cH:16][c:17]([O:18][CH3:19])[cH:20]1
2566,[CH2:8]=[CH:9][c:10]1[cH:11][cH:12][cH:13][cH:14][c:15]1[OH:16].OB(O)[c:7]1[cH:6][c:4]([OH:5])[cH:3][c:2]([OH:1])[cH:17]1>>[OH:1][c:2]1[cH:3][c:4]([OH:5])[cH:6][c:7](/[CH:8]=[CH:9]/[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[OH:16])[cH:17]1
2567,[CH2:6]=[CH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[OH:14].OB(O)[c:5]1[cH:4][c:3]([O:2][CH3:1])[cH:19][c:16]([O:17][CH3:18])[cH:15]1>>[CH3:1][O:2][c:3]1[cH:4][c:5](/[CH:6]=[CH:7]/[c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[OH:14])[cH:15][c:16]([O:17][CH3:18])[cH:19]1
2568,[CH2:9]=[CH:10][c:11]1[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][cH:18]1.Br[C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])([F:7])[F:8]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([F:7])([F:8])/[CH:9]=[CH:10]/[c:11]1[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][cH:18]1
2569,[CH2:9]=[CH:10][c:11]1[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][cH:18]1.Br[C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])([F:7])[F:8]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([F:7])([F:8])/[CH:9]=[CH:10]/[c:11]1[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][cH:18]1
2570,[CH2:9]=[CH:10][c:11]1[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][cH:18]1.Br[C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])([F:7])[F:8]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([F:7])([F:8])/[CH:9]=[CH:10]/[c:11]1[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][cH:18]1
2571,[CH2:9]=[CH:10][c:11]1[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][cH:18]1.Br[C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])([F:7])[F:8]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([F:7])([F:8])/[CH:9]=[CH:10]/[c:11]1[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][cH:18]1
2572,[CH2:9]=[CH:10][c:11]1[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][cH:18]1.Br[C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])([F:7])[F:8]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([F:7])([F:8])/[CH:9]=[CH:10]/[c:11]1[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][cH:18]1
2573,[CH2:9]=[CH:10][c:11]1[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][cH:18]1.Br[C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])([F:7])[F:8]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([F:7])([F:8])/[CH:9]=[CH:10]/[c:11]1[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][cH:18]1
2574,Br[C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])([F:7])[F:8].[cH:9]1[cH:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[n:17]([CH3:18])[c:19]1=[O:20]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([F:7])([F:8])[c:9]1[cH:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[n:17]([CH3:18])[c:19]1=[O:20]
2575,Br[C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])([F:7])[F:8].[cH:9]1[cH:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[n:17]([CH3:18])[c:19]1=[O:20]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([F:7])([F:8])[c:9]1[cH:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[n:17]([CH3:18])[c:19]1=[O:20]
2576,Br[C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])([F:7])[F:8].[cH:9]1[cH:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[n:17]([CH3:18])[c:19]1=[O:20]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([F:7])([F:8])[c:9]1[cH:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[n:17]([CH3:18])[c:19]1=[O:20]
2577,[cH:11]1[cH:12][cH:13][c:14]([Br:15])[s:16]1.I[c:10]1[cH:9][cH:8][c:7](-[c:6]2[cH:5][cH:4][c:3]([C:2]#[N:1])[cH:20][cH:19]2)[cH:18][cH:17]1>>[N:1]#[C:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][cH:9][c:10](-[c:11]3[cH:12][cH:13][c:14]([Br:15])[s:16]3)[cH:17][cH:18]2)[cH:19][cH:20]1
2578,[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][s:21]1.I[c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18]2)[cH:19][cH:20]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][cH:9][c:10](-[c:11]3[cH:12][cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18]3)[cH:19][cH:20]2)[s:21]1
2579,[CH2:10]=[CH:11][B:12]1[O:13][C:14]([CH3:15])([CH3:16])[C:17]([CH3:18])([CH3:19])[O:20]1.Br[c:9]1[cH:8][cH:7][c:6]([N:5]2[CH2:4][CH2:3][N:2]([CH3:1])[CH2:24][CH2:23]2)[cH:22][cH:21]1>>[CH3:1][N:2]1[CH2:3][CH2:4][N:5]([c:6]2[cH:7][cH:8][c:9](/[CH:10]=[CH:11]/[B:12]3[O:13][C:14]([CH3:15])([CH3:16])[C:17]([CH3:18])([CH3:19])[O:20]3)[cH:21][cH:22]2)[CH2:23][CH2:24]1
2580,[CH2:10]=[CH:11][B:12]1[O:13][C:14]([CH3:15])([CH3:16])[C:17]([CH3:18])([CH3:19])[O:20]1.Br[c:9]1[cH:8][cH:7][c:6]([N:5]2[CH2:4][CH2:3][N:2]([CH3:1])[CH2:24][CH2:23]2)[cH:22][cH:21]1>>[CH3:1][N:2]1[CH2:3][CH2:4][N:5]([c:6]2[cH:7][cH:8][c:9](/[CH:10]=[CH:11]/[B:12]3[O:13][C:14]([CH3:15])([CH3:16])[C:17]([CH3:18])([CH3:19])[O:20]3)[cH:21][cH:22]2)[CH2:23][CH2:24]1
2581,Br[c:8]1[c:9](-[c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[o:16][c:17]2[cH:18][cH:19][cH:20][n:21][c:22]12.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH:7][c:8]1[c:9](-[c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[o:16][c:17]2[cH:18][cH:19][cH:20][n:21][c:22]12
2582,I[c:7]1[c:2]([CH3:1])[cH:3][cH:4][cH:5][cH:6]1.[CH:8]1=[CH:9][C:10](=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[C:18]1=[O:19]>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[C:8]1=[CH:9][C:10](=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[C:18]1=[O:19]
2583,I[c:7]1[c:2]([CH3:1])[cH:3][cH:4][cH:5][cH:6]1.[CH:8]1=[CH:9][C:10](=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[C:18]1=[O:19]>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[C:8]1=[CH:9][C:10](=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[C:18]1=[O:19]
2584,I[c:7]1[cH:6][cH:5][cH:4][c:3]([O:2][CH3:1])[cH:20]1.[CH:8]1=[CH:9][C:10](=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[C:18]1=[O:19]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][c:7]([C:8]2=[CH:9][C:10](=[O:11])[c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[C:18]2=[O:19])[cH:20]1
2585,I[c:7]1[cH:6][cH:5][cH:4][c:3]([O:2][CH3:1])[cH:20]1.[CH:8]1=[CH:9][C:10](=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[C:18]1=[O:19]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][c:7]([C:8]2=[CH:9][C:10](=[O:11])[c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[C:18]2=[O:19])[cH:20]1
2586,Br[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:18][c:15]1[O:16][CH3:17].[CH:7]1=[CH:8][C:9](=[O:10])[CH2:11][CH2:12][CH2:13][CH2:14]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7]2=[CH:8][C:9](=[O:10])[CH2:11][CH2:12][CH2:13][CH2:14]2)[c:15]([O:16][CH3:17])[cH:18]1
2587,CCO[C:16]([C:7]([CH2:6][P:4]([O:3][CH2:2][CH3:1])(=[O:5])[O:18][CH2:19][CH3:20])=[CH2:8])=[O:17].I[c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[OH:15]>>[CH3:1][CH2:2][O:3][P:4](=[O:5])([CH2:6][c:7]1[cH:8][c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2[o:15][c:16]1=[O:17])[O:18][CH2:19][CH3:20]
2588,Br[c:8]1[cH:9][c:10](Br)[cH:27][c:28](Br)[cH:45]1.[CH2:11]=[C:12]([CH2:13][P:14](=[O:15])([O:16][CH2:17][CH3:18])[O:19][CH2:20][CH3:21])[C:22](=[O:23])[O:24][CH2:25][CH3:26].[CH2:29]=[C:30]([CH2:31][P:32](=[O:33])([O:34][CH2:35][CH3:36])[O:37][CH2:38][CH3:39])[C:40](=[O:41])[O:42][CH2:43][CH3:44].[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6](=[CH2:7])[CH2:46][P:47](=[O:48])([O:49][CH2:50][CH3:51])[O:52][CH2:53][CH3:54]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[C:6](=[CH:7]/[c:8]1[cH:9][c:10](/[CH:11]=[C:12](\[CH2:13][P:14](=[O:15])([O:16][CH2:17][CH3:18])[O:19][CH2:20][CH3:21])[C:22](=[O:23])[O:24][CH2:25][CH3:26])[cH:27][c:28](/[CH:29]=[C:30](\[CH2:31][P:32](=[O:33])([O:34][CH2:35][CH3:36])[O:37][CH2:38][CH3:39])[C:40](=[O:41])[O:42][CH2:43][CH3:44])[cH:45]1)[CH2:46][P:47](=[O:48])([O:49][CH2:50][CH3:51])[O:52][CH2:53][CH3:54]
2589,[CH3:1][CH2:32][O:46][P:29]([O:3][CH2:4][CH3:6])([CH2:28][C:27](=[CH2:26])[C:37](=[O:38])[O:39][CH2:40][CH3:41])=[O:30].I[c:17]1[cH:18][cH:19][cH:20][c:21]2[cH:22][cH:23][cH:24][c:25](I)[c:42]12>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[C:6](=[CH:7]/[c:8]1[cH:9][cH:10][cH:11][c:12]2[cH:13][cH:14][cH:15][c:16](-[c:17]3[cH:18][cH:19][cH:20][c:21]4[cH:22][cH:23][cH:24][c:25](/[CH:26]=[C:27](\[CH2:28][P:29](=[O:30])([O:31][CH2:32][CH3:33])[O:34][CH2:35][CH3:36])[C:37](=[O:38])[O:39][CH2:40][CH3:41])[c:42]34)[c:43]12)[CH2:44][P:45](=[O:46])([O:47][CH2:48][CH3:49])[O:50][CH2:51][CH3:52]
2590,[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6](=[CH2:7])[CH2:14][P:15](=[O:16])([O:17][CH2:18][CH3:19])[O:20][CH2:21][CH3:22].I[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[C:6](=[CH:7]/[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[CH2:14][P:15](=[O:16])([O:17][CH2:18][CH3:19])[O:20][CH2:21][CH3:22]
2591,[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6](=[CH2:7])[CH2:18][P:19](=[O:20])([O:21][CH2:10][CH3:26])[O:24][CH2:9][CH3:8]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[C:6](=[CH:7]/[c:8]1[cH:9][cH:10][cH:11][c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]12)[CH2:18][P:19](=[O:20])([O:21][CH2:22][CH3:23])[O:24][CH2:25][CH3:26]
2592,[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6](=[CH2:7])[CH2:13][P:14](=[O:15])([O:16][CH2:9][CH3:10])[O:19][CH2:8][CH3:21]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[C:6](=[CH:7]/[c:8]1[cH:9][cH:10][cH:11][s:12]1)[CH2:13][P:14](=[O:15])([O:16][CH2:17][CH3:18])[O:19][CH2:20][CH3:21]
2593,[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6](=[CH2:7])[CH2:15][P:16](=[O:17])([O:18][CH2:8][CH3:23])[O:21][CH2:13][CH3:14]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[C:6](=[CH:7]/[c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[CH3:14])[CH2:15][P:16](=[O:17])([O:18][CH2:19][CH3:20])[O:21][CH2:22][CH3:23]
2594,[CH3:1][n:2]1[n:3][n:4][c:5]([CH:6]=[CH2:7])[n:15]1.I[c:8]1[cH:9][cH:10][c:11]([Cl:12])[cH:13][cH:14]1>>[CH3:1][n:2]1[n:3][n:4][c:5](/[CH:6]=[CH:7]/[c:8]2[cH:9][cH:10][c:11]([Cl:12])[cH:13][cH:14]2)[n:15]1
2595,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][N:9]1[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[S:16][c:17]2[cH:54][c:20]([CH:21]=[CH2:22])[cH:19][cH:18][c:55]21.Br[c:23]1[cH:24][cH:25][c:26]2[c:27]([cH:28]1)[C:29]([CH2:30][CH2:31][CH2:32][CH2:33][CH2:34][CH2:35][CH2:36][CH3:37])([CH2:38][CH2:39][CH2:40][CH2:41][CH2:42][CH2:43][CH2:44][CH3:45])[c:46]1[cH:47][c:48]([CH:49]=[O:50])[cH:51][cH:52][c:53]1-2>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][N:9]1[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[S:16][c:17]2[cH:18][cH:19][c:20](/[CH:21]=[CH:22]/[c:23]3[cH:24][cH:25][c:26]4[c:27]([cH:28]3)[C:29]([CH2:30][CH2:31][CH2:32][CH2:33][CH2:34][CH2:35][CH2:36][CH3:37])([CH2:38][CH2:39][CH2:40][CH2:41][CH2:42][CH2:43][CH2:44][CH3:45])[c:46]3[cH:47][c:48]([CH:49]=[O:50])[cH:51][cH:52][c:53]3-4)[cH:54][c:55]21
2596,Br[c:16]1[c:9]([O:8]/[CH:7]=[CH:6]/[C:4]([O:3][CH2:2][CH3:1])=[O:5])[c:10]([O:11][CH3:12])[cH:13][c:14]2[c:15]1[CH2:17][CH2:18][C@H:19]1[C:20]([CH3:21])([CH3:22])[C:23](=[O:24])[CH:25]=[CH:26][C@:27]21[CH3:28]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][o:8][c:9]2[c:10]([O:11][CH3:12])[cH:13][c:14]3[c:15]([c:16]12)[CH2:17][CH2:18][C@H:19]1[C:20]([CH3:21])([CH3:22])[C:23](=[O:24])[CH:25]=[CH:26][C@:27]31[CH3:28]
2597,Br[c:34]1[c:29]([CH2:28][CH2:27][N:11]([C:9]([C:8]#[C:7][c:6]2[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:36][cH:35]2)=[O:10])[CH:12]([CH2:13][c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[C:20](=[O:21])[NH:22][C:23]([CH3:24])([CH3:25])[CH3:26])[cH:30][cH:31][cH:32][cH:33]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](/[CH:7]=[C:8]2\[C:9](=[O:10])[N:11]([CH:12]([CH2:13][c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3)[C:20](=[O:21])[NH:22][C:23]([CH3:24])([CH3:25])[CH3:26])[CH2:27][CH2:28][c:29]3[cH:30][cH:31][cH:32][cH:33][c:34]32)[cH:35][cH:36]1
2598,Br[c:30]1[c:25]([CH2:24][CH2:23][N:6]([C:4]([C:3]#[C:2][CH3:1])=[O:5])[C:7]2([C:8](=[O:9])[NH:10][CH:11]3[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]3)[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22]2)[cH:26][cH:27][cH:28][cH:29]1>>[CH3:1]/[CH:2]=[C:3]1\[C:4](=[O:5])[N:6]([C:7]2([C:8](=[O:9])[NH:10][CH:11]3[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]3)[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22]2)[CH2:23][CH2:24][c:25]2[cH:26][cH:27][cH:28][cH:29][c:30]21
2600,Br[c:23]1[c:18]([CH2:17][N:10]([C@@H:9]2[C:4]([CH2:3][C:2]#[N:1])=[CH:5][CH2:6][CH2:7][CH2:8]2)[C:11](=[O:12])[C:13]([F:14])([F:15])[F:16])[cH:19][c:20]2[c:21]([cH:22]1)[O:24][CH2:25][O:26]2>>[N:1]#[C:2][CH2:3][C@@:4]12[CH:5]=[CH:6][CH2:7][CH2:8][C@@H:9]1[N:10]([C:11](=[O:12])[C:13]([F:14])([F:15])[F:16])[CH2:17][c:18]1[cH:19][c:20]3[c:21]([cH:22][c:23]12)[O:24][CH2:25][O:26]3
2601,Br[c:6]1[cH:5][cH:4][c:3]([CH2:2][Br:1])[cH:16][cH:15]1.[CH2:7]=[CH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1>>[Br:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([CH:7]=[CH:8][c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)[cH:15][cH:16]1
2602,Br[c:17]1[cH:18][cH:19][c:20](/[CH:21]=[CH:22]/[c:23]2[cH:24][cH:25][n:26][cH:27][cH:28]2)[c:29]2[n:30][s:31][n:32][c:33]12.[CH3:1][CH2:2][CH2:3][CH2:4][n:5]1[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[c:12]2[cH:13][c:14]([CH:15]=[CH2:16])[cH:34][cH:35][c:36]12>>[CH3:1][CH2:2][CH2:3][CH2:4][n:5]1[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[c:12]2[cH:13][c:14](/[CH:15]=[CH:16]/[c:17]3[cH:18][cH:19][c:20](/[CH:21]=[CH:22]/[c:23]4[cH:24][cH:25][n:26][cH:27][cH:28]4)[c:29]4[n:30][s:31][n:32][c:33]34)[cH:34][cH:35][c:36]12
2604,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][n:9]1[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[c:16]2[cH:17][c:18]([CH:19]=[CH2:20])[cH:29][cH:30][c:31]12.Br[c:21]1[cH:22][cH:23][c:24]([CH:25]=[O:26])[cH:27][cH:28]1>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][n:9]1[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[c:16]2[cH:17][c:18](/[CH:19]=[CH:20]/[c:21]3[cH:22][cH:23][c:24]([CH:25]=[O:26])[cH:27][cH:28]3)[cH:29][cH:30][c:31]12
2605,C[Si](C)(Cc1ccccc1)/[CH:11]=[CH:10]/[CH:9]1[CH:7]([CH2:6][CH2:5][CH2:4][CH2:3][CH2:2][CH3:1])[CH2:8]1.I[c:12]1[cH:13][cH:14][c:15]([C:16]#[N:17])[cH:18][cH:19]1>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH:7]1[CH2:8][CH:9]1/[CH:10]=[CH:11]/[c:12]1[cH:13][cH:14][c:15]([C:16]#[N:17])[cH:18][cH:19]1
2606,[CH2:25]=[CH:26][C:27]#[N:28].Br[c:24]1[cH:23][cH:22][c:21]([C:19]2([CH3:20])[c:6]3[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:8][c:7]3[CH2:9][CH2:10][N:11]2[c:12]2[cH:13][cH:14][c:15]([F:16])[cH:17][cH:18]2)[cH:30][cH:29]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[CH2:9][CH2:10][N:11]([c:12]1[cH:13][cH:14][c:15]([F:16])[cH:17][cH:18]1)[C:19]2([CH3:20])[c:21]1[cH:22][cH:23][c:24](/[CH:25]=[CH:26]/[C:27]#[N:28])[cH:29][cH:30]1
2607,[CH2:25]=[CH:26][C:27]#[N:28].Br[c:24]1[cH:23][cH:22][c:21]([C:19]2([CH3:20])[c:6]3[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:8][c:7]3[CH2:9][CH2:10][N:11]2[c:12]2[cH:13][cH:14][c:15]([F:16])[cH:17][cH:18]2)[cH:30][cH:29]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[CH2:9][CH2:10][N:11]([c:12]1[cH:13][cH:14][c:15]([F:16])[cH:17][cH:18]1)[C:19]2([CH3:20])[c:21]1[cH:22][cH:23][c:24](/[CH:25]=[CH:26]/[C:27]#[N:28])[cH:29][cH:30]1
2608,[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].Br[c:7]1[cH:8][cH:9][c:10]([C:11]2([CH3:12])[c:13]3[cH:14][cH:15][c:16]([O:17][CH3:18])[cH:19][c:20]3[CH2:21][CH2:22][N:23]2[c:24]2[cH:25][cH:26][c:27]([CH2:28][CH:29]([CH3:30])[CH3:31])[cH:32][cH:33]2)[cH:34][cH:35]1>>[CH3:1][O:2][C:3](=[O:4])/[CH:5]=[CH:6]/[c:7]1[cH:8][cH:9][c:10]([C:11]2([CH3:12])[c:13]3[cH:14][cH:15][c:16]([O:17][CH3:18])[cH:19][c:20]3[CH2:21][CH2:22][N:23]2[c:24]2[cH:25][cH:26][c:27]([CH2:28][CH:29]([CH3:30])[CH3:31])[cH:32][cH:33]2)[cH:34][cH:35]1
